========FIRST LAYER WEIGHTS========
=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 prev|    0|    0|    1|    0|    0|    0|    1|    0|    1|    0|    1|    0|    0|    0|    1|    1|    1|    1|    1|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  now|    0|    0|    1|    0|    0|    0|    1|    0|    1|    0|    1|    0|    0|    0|    1|    1|    1|    1|    1|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
=======RECOGNIZING=======
 1inp|   -2|   -4|   -4|    4|    4|    4|    4|   -2|   -4|   -4|   -2|   -4|    2|    4|    4|    4|    4|    4|   -4|   -4|   -2|    2|    2|   -2|   -2|   -2|   -2|    2|    2|   -2|    4|    2|   -4|   -2|   -2|   -2|   -4|   -4|    4|    4|    4|    2|   -4|   -2|   -2|   -4|   -4|   -2|    4|    4|    4|    2|   -4|   -2|   -4|   -4|   -2|   -2|    4|    4|    4|    2|   -4|   -4|   -4|   -2|   -2|   -2|    4|    4|    4|    2|    2|    2|    2|    4|    4|    4|    4|    4|    4|    2|    2|    4|    2|    2|    4|    4|    4|    4|    4|    2|   -4|   -2|   -2|   -4|   -4|   -2|    4|    4|    4|    2|   -4|   -2|   -2|   -2|   -4|   -4|    4|    4|    4|    2|   -4|   -2|   -2|   -2|   -2|   -4|    2|    4|    4|    2|   -4|   -2|   -2|   -2|   -2|   -2|    2|    2|    4|    2|   -4|   -2|   -2|   -2|   -2|   -2|    2|    2|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 prev|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    1|    1|    1|    1|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  now|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    1|    1|    1|    1|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 2inp|  -86|  -54|   86|  -54|  -86|  -86|   86|  -54|   54|  -54|   54|  -54|  -86|  -54|   86|   54|   54|   86|   86|   86|   54|  -54|  -86|  -54|   86|   54|  -54|  -54|  -86|   86|   54|  -54|  -54|  -54|   54|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 prev|    0|    0|    1|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    1|    0|    1|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  now|    0|    0|    1|    0|    0|    0|    1|    0|    1|    0|    1|    0|    0|    0|    1|    1|    1|    1|    1|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 1inp|  -16|  -16|  -16|   16|   16|   16|   16|  -16|  -16|  -16|  -16|  -16|   16|   16|   16|   16|   16|   16|  -16|  -16|  -16|   16|   16|  -16|  -16|  -16|  -16|   16|   16|  -16|   16|   16|  -16|  -16|  -16|  -16|  -16|  -16|   16|   16|   16|   16|  -16|  -16|  -16|  -16|  -16|  -16|   16|   16|   16|   16|  -16|  -16|  -16|  -16|  -16|  -16|   16|   16|   16|   16|  -16|  -16|  -16|  -16|  -16|  -16|   16|   16|   16|   16|   16|   16|   16|   16|   16|   16|   16|   16|   16|   16|   16|   16|   16|   16|   16|   16|   16|   16|   16|   16|  -16|  -16|  -16|  -16|  -16|  -16|   16|   16|   16|   16|  -16|  -16|  -16|  -16|  -16|  -16|   16|   16|   16|   16|  -16|  -16|  -16|  -16|  -16|  -16|   16|   16|   16|   16|  -16|  -16|  -16|  -16|  -16|  -16|   16|   16|   16|   16|  -16|  -16|  -16|  -16|  -16|  -16|   16|   16|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 prev|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    1|    1|    1|    1|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  now|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    1|    1|    1|    1|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 2inp|  -86|  -54|   86|  -54|  -86|  -86|   86|  -54|   54|  -54|   54|  -54|  -86|  -54|   86|   54|   54|   86|   86|   86|   54|  -54|  -86|  -54|   86|   54|  -54|  -54|  -86|   86|   54|  -54|  -54|  -54|   54|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 prev|    0|    0|    1|    0|    0|    0|    1|    0|    1|    0|    1|    0|    0|    0|    1|    1|    1|    1|    1|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  now|    0|    0|    1|    0|    0|    0|    1|    0|    1|    0|    1|    0|    0|    0|    1|    1|    1|    1|    1|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
=======RECOGNIZING=======
 1inp|   12|   -4|  -12|   -4|   12|   12|  -12|   -4|    4|   -4|    4|   -4|   12|   -4|  -12|    4|    4|  -12|  -12|  -12|    4|   -4|   12|   -4|  -12|    4|   -4|   -4|   12|  -12|    4|   -4|   -4|   -4|    4|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 prev|    0|    0|    1|    0|    0|    0|    1|    0|    1|    0|    1|    0|    0|    0|    1|    1|    1|    1|    1|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  now|    1|    0|    0|    0|    1|    1|    0|    0|    1|    0|    1|    0|    1|    0|    0|    1|    1|    0|    0|    0|    1|    0|    1|    0|    0|    1|    0|    0|    1|    0|    1|    0|    0|    0|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 2inp|  -16|   12|   12|  -12|  -12|  -12|  -12|  -16|   12|   12|  -16|   12|   16|  -12|  -12|  -12|  -12|  -12|   12|   12|  -16|   16|   16|  -16|  -16|  -16|  -16|   16|   16|  -16|  -12|   16|   12|  -16|  -16|  -16|   12|   12|  -12|  -12|  -12|   16|   12|  -16|  -16|   12|   12|  -16|  -12|  -12|  -12|   16|   12|  -16|   12|   12|  -16|  -16|  -12|  -12|  -12|   16|   12|   12|   12|  -16|  -16|  -16|  -12|  -12|  -12|   16|   16|   16|   16|  -12|  -12|  -12|  -12|  -12|  -12|   16|   16|  -12|   16|   16|  -12|  -12|  -12|  -12|  -12|   16|   12|  -16|  -16|   12|   12|  -16|  -12|  -12|  -12|   16|   12|  -16|  -16|  -16|   12|   12|  -12|  -12|  -12|   16|   12|  -16|  -16|  -16|  -16|   12|   16|  -12|  -12|   16|   12|  -16|  -16|  -16|  -16|  -16|   16|   16|  -12|   16|   12|  -16|  -16|  -16|  -16|  -16|   16|   16|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 prev|    0|    0|    0|    0|    0|    0|    0|    0|    1|    1|    0|    0|    0|    0|    0|    0|    0|    0|    1|    1|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    0|    1|    1|    0|    0|    0|    0|    0|    0|    0|    0|    1|    1|    0|    0|    0|    0|    0|    0|    0|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  now|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    1|    1|    0|    0|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    1|    1|    0|    0|    1|    1|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|    0|    0|    1|    1|    0|    0|    0|    0|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    0|    1|    1|    0|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 1inp|   58|  -54|  -58|  -54|   58|   58|  -58|  -54|   54|  -54|   54|  -54|   58|  -54|  -58|   54|   54|  -58|  -58|  -58|   54|  -54|   58|  -54|  -58|   54|  -54|  -54|   58|  -58|   54|  -54|  -54|  -54|   54|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 prev|    1|    0|    0|    0|    1|    1|    0|    0|    1|    0|    1|    0|    1|    0|    0|    1|    1|    0|    0|    0|    1|    0|    1|    0|    0|    1|    0|    0|    1|    0|    1|    0|    0|    0|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  now|    1|    0|    0|    0|    1|    1|    0|    0|    1|    0|    1|    0|    1|    0|    0|    1|    1|    0|    0|    0|    1|    0|    1|    0|    0|    1|    0|    0|    1|    0|    1|    0|    0|    0|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 2inp|  -16|   12|   12|  -12|  -12|  -12|  -12|  -16|   12|   12|  -16|   12|   16|  -12|  -12|  -12|  -12|  -12|   12|   12|  -16|   16|   16|  -16|  -16|  -16|  -16|   16|   16|  -16|  -12|   16|   12|  -16|  -16|  -16|   12|   12|  -12|  -12|  -12|   16|   12|  -16|  -16|   12|   12|  -16|  -12|  -12|  -12|   16|   12|  -16|   12|   12|  -16|  -16|  -12|  -12|  -12|   16|   12|   12|   12|  -16|  -16|  -16|  -12|  -12|  -12|   16|   16|   16|   16|  -12|  -12|  -12|  -12|  -12|  -12|   16|   16|  -12|   16|   16|  -12|  -12|  -12|  -12|  -12|   16|   12|  -16|  -16|   12|   12|  -16|  -12|  -12|  -12|   16|   12|  -16|  -16|  -16|   12|   12|  -12|  -12|  -12|   16|   12|  -16|  -16|  -16|  -16|   12|   16|  -12|  -12|   16|   12|  -16|  -16|  -16|  -16|  -16|   16|   16|  -12|   16|   12|  -16|  -16|  -16|  -16|  -16|   16|   16|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 prev|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    1|    1|    0|    0|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    1|    1|    0|    0|    1|    1|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|    0|    0|    1|    1|    0|    0|    0|    0|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    0|    1|    1|    0|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
  now|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    1|    1|    0|    0|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    1|    1|    0|    0|    1|    1|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    1|    1|    0|    0|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|    0|    0|    1|    1|    0|    0|    0|    0|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    1|    1|    0|    0|    0|    0|    1|    1|    0|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|    0|    1|    1|    0|    0|    0|    0|    0|    1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
=======RECOGNIZING=======
