=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|=====|
 A106|    3|    5|    3|   -3|   -3|   -3|   -5|   -3|    3|    3|    3|    3|   -1|   -3|   -3|   -3|   -5|   -5|   -1|    3|    1|   -1|    1|    3|    3|    1|    1|    1|   -3|   -1|   -1|   -1|    3|    3|    3|    1|    3|    5|   -3|   -3|   -1|   -1|    3|    3|    1|    3|    5|    3|   -3|   -3|   -1|   -1|    1|    1|    1|    1|    1|    1|   -3|   -1|   -1|   -1|    1|    1|    1|    1|    1|    1|   -1|   -1|   -1|   -1|    1|    1|    1|    1|    1|    1|   -1|   -1|   -1|   -1|   -1|   -1|    3|    3|    1|    1|   -1|   -1|   -1|   -1|    1|    1|    3|    5|    5|    3|   -1|   -1|   -1|   -3|    1|    3|    3|    3|    0|    5|   -3|   -3|   -1|   -3|    1|    3|    3|    3|    3|    3|   -3|   -3|   -1|   -1|    1|   -1|   -1|   -1|   -1|   -1|   -3|    1|   -1|    1|    3|   -1|   -1|   -1|   -1|   -1|    1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 A107|    3|    5|    3|   -3|   -3|   -3|   -5|   -3|    3|    3|    3|    3|   -1|   -3|   -3|   -3|   -5|   -5|   -1|    3|    1|   -1|    1|    3|    3|    1|    1|    1|   -3|   -1|   -1|   -1|    3|    3|    3|    1|    3|    5|   -3|   -3|   -1|   -1|    3|    3|    1|    3|    5|    3|   -3|   -3|   -1|   -1|    1|    1|    1|    1|    1|    1|   -3|   -1|   -1|   -1|    1|    1|    1|    1|    1|    1|   -1|   -1|   -1|   -1|    1|    1|    1|    1|    1|    1|   -1|   -1|   -1|   -1|   -1|   -1|    3|    3|    1|    1|   -1|   -1|   -1|   -1|    1|    1|    3|    5|    5|    3|   -1|   -1|   -1|   -3|    1|    3|    3|    3|    5|    0|   -3|   -3|   -1|   -3|    1|    3|    3|    3|    3|    3|   -3|   -3|   -1|   -1|    1|   -1|   -1|   -1|   -1|   -1|   -3|    1|   -1|    1|    3|   -1|   -1|   -1|   -1|   -1|    1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 A108|   -1|   -3|   -1|    1|    1|    1|    3|    1|   -1|   -1|   -1|   -1|   -1|    1|    1|    1|    3|    3|   -1|   -1|    1|   -1|   -3|   -1|   -1|    1|    1|   -3|    1|    3|    3|   -1|   -5|   -1|   -1|    1|   -1|   -3|    5|    5|    3|   -1|   -5|   -1|    1|   -1|   -3|   -1|    5|    5|    3|   -1|   -3|    1|    1|    1|    1|    1|    5|    3|    3|   -1|   -3|    1|    1|    1|    1|    1|    3|    3|    3|   -1|   -3|    1|    1|    1|    1|    1|    3|    3|    3|   -1|   -1|    3|   -1|   -1|    1|    1|    3|    3|    3|   -1|   -3|    1|   -1|   -3|   -3|   -1|    3|    3|    3|    1|   -3|   -1|   -1|   -1|   -3|   -3|    0|    5|    3|    1|   -3|   -1|   -1|   -1|   -1|   -5|    1|    5|    3|    3|   -3|   -1|   -1|   -1|   -1|   -1|    1|    1|    3|    1|   -1|   -1|   -1|   -1|   -1|   -1|    1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 A109|   -1|   -3|   -1|    1|    1|    1|    3|    1|   -1|   -1|   -1|   -1|   -1|    1|    1|    1|    3|    3|   -1|   -1|    1|   -1|   -3|   -1|   -1|    1|    1|   -3|    1|    3|    3|   -1|   -5|   -1|   -1|    1|   -1|   -3|    5|    5|    3|   -1|   -5|   -1|    1|   -1|   -3|   -1|    5|    5|    3|   -1|   -3|    1|    1|    1|    1|    1|    5|    3|    3|   -1|   -3|    1|    1|    1|    1|    1|    3|    3|    3|   -1|   -3|    1|    1|    1|    1|    1|    3|    3|    3|   -1|   -1|    3|   -1|   -1|    1|    1|    3|    3|    3|   -1|   -3|    1|   -1|   -3|   -3|   -1|    3|    3|    3|    1|   -3|   -1|   -1|   -1|   -3|   -3|    5|    0|    3|    1|   -3|   -1|   -1|   -1|   -1|   -5|    1|    5|    3|    3|   -3|   -1|   -1|   -1|   -1|   -1|    1|    1|    3|    1|   -1|   -1|   -1|   -1|   -1|   -1|    1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 A110|    1|   -1|    1|    3|    3|    3|    1|   -1|   -3|   -3|    1|    1|    1|    3|    3|    3|    1|    1|   -3|   -3|    3|    1|   -1|    1|    1|   -1|   -1|   -1|   -1|    1|    5|    1|   -3|    1|    1|   -1|   -3|   -1|    3|    3|    5|    1|   -3|    1|   -1|   -3|   -1|    1|    3|    3|    5|    1|   -1|    3|   -1|   -1|    3|    3|    3|    1|    5|    1|   -1|   -1|   -1|    3|    3|    3|    1|    1|    5|    1|   -1|   -1|   -1|    3|    3|    3|    1|    1|    5|    1|   -3|    1|    1|    1|    3|    3|    1|    1|    5|    1|   -5|   -1|    1|   -1|   -1|    1|    1|    1|    5|   -1|   -5|    1|    1|    1|   -1|   -1|    3|    3|    0|   -1|   -5|    1|    1|    1|    1|   -3|   -1|    3|    1|    1|   -1|    1|    1|    1|    1|    1|   -1|   -1|    1|   -1|    1|    1|    1|    1|    1|    1|   -1|   -1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 A111|   -5|   -3|   -1|    1|    1|    1|    3|    1|   -1|   -1|   -5|   -1|    3|    1|    1|    1|    3|    3|    3|   -1|   -3|    3|    1|   -5|   -5|   -3|   -3|    1|    5|   -1|   -1|    3|   -1|   -5|   -5|   -3|   -1|   -3|    1|    1|   -1|    3|   -1|   -5|   -3|   -1|   -3|   -5|    1|    1|   -1|    3|    1|   -3|    1|    1|   -3|   -3|    1|   -1|   -1|    3|    1|    1|    1|   -3|   -3|   -3|   -1|   -1|   -1|    3|    1|    1|    1|   -3|   -3|   -3|   -1|   -1|   -1|    3|    3|   -1|   -1|   -1|   -3|   -3|   -1|   -1|   -1|    3|    1|   -3|   -5|   -3|   -3|   -5|   -1|   -1|   -1|    5|    1|   -5|   -5|   -5|   -3|   -3|    1|    1|   -1|    0|    1|   -5|   -5|   -5|   -5|   -1|    5|    1|   -1|    3|    1|   -1|   -1|   -1|   -1|   -1|    5|    1|   -1|    1|   -1|   -1|   -1|   -1|   -1|   -1|    1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 A112|   -1|    1|   -1|   -3|   -3|   -3|   -1|    1|    3|    3|   -1|   -1|   -1|   -3|   -3|   -3|   -1|   -1|    3|    3|   -3|   -1|    1|   -1|   -1|    1|    1|    1|    1|   -1|   -5|   -1|    3|   -1|   -1|    1|    3|    1|   -3|   -3|   -5|   -1|    3|   -1|    1|    3|    1|   -1|   -3|   -3|   -5|   -1|    1|   -3|    1|    1|   -3|   -3|   -3|   -1|   -5|   -1|    1|    1|    1|   -3|   -3|   -3|   -1|   -1|   -5|   -1|    1|    1|    1|   -3|   -3|   -3|   -1|   -1|   -5|   -1|    3|   -1|   -1|   -1|   -3|   -3|   -1|   -1|   -5|   -1|    5|    1|   -1|    1|    1|   -1|   -1|   -1|   -5|    1|    5|   -1|   -1|   -1|    1|    1|   -3|   -3|   -5|    1|    0|   -1|   -1|   -1|   -1|    3|    1|   -3|   -1|   -1|    1|   -1|   -1|   -1|   -1|   -1|    1|    1|   -1|    1|   -1|   -1|   -1|   -1|   -1|   -1|    1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 A113|    5|    3|    1|   -1|   -1|   -1|   -3|   -1|    1|    1|    5|    1|   -3|   -1|   -1|   -1|   -3|   -3|   -3|    1|    3|   -3|   -1|    5|    5|    3|    3|   -1|   -5|    1|    1|   -3|    1|    5|    5|    3|    1|    3|   -1|   -1|    1|   -3|    1|    5|    3|    1|    3|    5|   -1|   -1|    1|   -3|   -1|    3|   -1|   -1|    3|    3|   -1|    1|    1|   -3|   -1|   -1|   -1|    3|    3|    3|    1|    1|    1|   -3|   -1|   -1|   -1|    3|    3|    3|    1|    1|    1|   -3|   -3|    1|    1|    1|    3|    3|    1|    1|    1|   -3|   -1|    3|    5|    3|    3|    5|    1|    1|    1|   -5|   -1|    5|    5|    5|    3|    3|   -1|   -1|    1|   -5|   -1|    0|    5|    5|    5|    1|   -5|   -1|    1|   -3|   -1|    1|    1|    1|    1|    1|   -5|   -1|    1|   -1|    1|    1|    1|    1|    1|    1|   -1|   -1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 A114|    5|    3|    1|   -1|   -1|   -1|   -3|   -1|    1|    1|    5|    1|   -3|   -1|   -1|   -1|   -3|   -3|   -3|    1|    3|   -3|   -1|    5|    5|    3|    3|   -1|   -5|    1|    1|   -3|    1|    5|    5|    3|    1|    3|   -1|   -1|    1|   -3|    1|    5|    3|    1|    3|    5|   -1|   -1|    1|   -3|   -1|    3|   -1|   -1|    3|    3|   -1|    1|    1|   -3|   -1|   -1|   -1|    3|    3|    3|    1|    1|    1|   -3|   -1|   -1|   -1|    3|    3|    3|    1|    1|    1|   -3|   -3|    1|    1|    1|    3|    3|    1|    1|    1|   -3|   -1|    3|    5|    3|    3|    5|    1|    1|    1|   -5|   -1|    5|    5|    5|    3|    3|   -1|   -1|    1|   -5|   -1|    5|    0|    5|    5|    1|   -5|   -1|    1|   -3|   -1|    1|    1|    1|    1|    1|   -5|   -1|    1|   -1|    1|    1|    1|    1|    1|    1|   -1|   -1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 A115|    5|    3|    1|   -1|   -1|   -1|   -3|   -1|    1|    1|    5|    1|   -3|   -1|   -1|   -1|   -3|   -3|   -3|    1|    3|   -3|   -1|    5|    5|    3|    3|   -1|   -5|    1|    1|   -3|    1|    5|    5|    3|    1|    3|   -1|   -1|    1|   -3|    1|    5|    3|    1|    3|    5|   -1|   -1|    1|   -3|   -1|    3|   -1|   -1|    3|    3|   -1|    1|    1|   -3|   -1|   -1|   -1|    3|    3|    3|    1|    1|    1|   -3|   -1|   -1|   -1|    3|    3|    3|    1|    1|    1|   -3|   -3|    1|    1|    1|    3|    3|    1|    1|    1|   -3|   -1|    3|    5|    3|    3|    5|    1|    1|    1|   -5|   -1|    5|    5|    5|    3|    3|   -1|   -1|    1|   -5|   -1|    5|    5|    0|    5|    1|   -5|   -1|    1|   -3|   -1|    1|    1|    1|    1|    1|   -5|   -1|    1|   -1|    1|    1|    1|    1|    1|    1|   -1|   -1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 A116|    5|    3|    1|   -1|   -1|   -1|   -3|   -1|    1|    1|    5|    1|   -3|   -1|   -1|   -1|   -3|   -3|   -3|    1|    3|   -3|   -1|    5|    5|    3|    3|   -1|   -5|    1|    1|   -3|    1|    5|    5|    3|    1|    3|   -1|   -1|    1|   -3|    1|    5|    3|    1|    3|    5|   -1|   -1|    1|   -3|   -1|    3|   -1|   -1|    3|    3|   -1|    1|    1|   -3|   -1|   -1|   -1|    3|    3|    3|    1|    1|    1|   -3|   -1|   -1|   -1|    3|    3|    3|    1|    1|    1|   -3|   -3|    1|    1|    1|    3|    3|    1|    1|    1|   -3|   -1|    3|    5|    3|    3|    5|    1|    1|    1|   -5|   -1|    5|    5|    5|    3|    3|   -1|   -1|    1|   -5|   -1|    5|    5|    5|    0|    1|   -5|   -1|    1|   -3|   -1|    1|    1|    1|    1|    1|   -5|   -1|    1|   -1|    1|    1|    1|    1|    1|    1|   -1|   -1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 A117|    1|    3|    1|   -1|   -1|   -1|   -3|   -1|    1|    1|    1|    1|    1|   -1|   -1|   -1|   -3|   -3|    1|    1|   -1|    1|    3|    1|    1|   -1|   -1|    3|   -1|   -3|   -3|    1|    5|    1|    1|   -1|    1|    3|   -5|   -5|   -3|    1|    5|    1|   -1|    1|    3|    1|   -5|   -5|   -3|    1|    3|   -1|   -1|   -1|   -1|   -1|   -5|   -3|   -3|    1|    3|   -1|   -1|   -1|   -1|   -1|   -3|   -3|   -3|    1|    3|   -1|   -1|   -1|   -1|   -1|   -3|   -3|   -3|    1|    1|   -3|    1|    1|   -1|   -1|   -3|   -3|   -3|    1|    3|   -1|    1|    3|    3|    1|   -3|   -3|   -3|   -1|    3|    1|    1|    1|    3|    3|   -5|   -5|   -3|   -1|    3|    1|    1|    1|    1|    0|   -1|   -5|   -3|   -3|    3|    1|    1|    1|    1|    1|   -1|   -1|   -3|   -1|    1|    1|    1|    1|    1|    1|   -1|   -1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 A118|   -5|   -3|   -1|    1|    1|    1|    3|    1|   -1|   -1|   -5|   -1|    3|    1|    1|    1|    3|    3|    3|   -1|   -3|    3|    1|   -5|   -5|   -3|   -3|    1|    5|   -1|   -1|    3|   -1|   -5|   -5|   -3|   -1|   -3|    1|    1|   -1|    3|   -1|   -5|   -3|   -1|   -3|   -5|    1|    1|   -1|    3|    1|   -3|    1|    1|   -3|   -3|    1|   -1|   -1|    3|    1|    1|    1|   -3|   -3|   -3|   -1|   -1|   -1|    3|    1|    1|    1|   -3|   -3|   -3|   -1|   -1|   -1|    3|    3|   -1|   -1|   -1|   -3|   -3|   -1|   -1|   -1|    3|    1|   -3|   -5|   -3|   -3|   -5|   -1|   -1|   -1|    5|    1|   -5|   -5|   -5|   -3|   -3|    1|    1|   -1|    5|    1|   -5|   -5|   -5|   -5|   -1|    0|    1|   -1|    3|    1|   -1|   -1|   -1|   -1|   -1|    5|    1|   -1|    1|   -1|   -1|   -1|   -1|   -1|   -1|    1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 A119|   -1|   -3|   -1|    1|    1|    1|    3|    1|   -1|   -1|   -1|   -1|   -1|    1|    1|    1|    3|    3|   -1|   -1|    1|   -1|   -3|   -1|   -1|    1|    1|   -3|    1|    3|    3|   -1|   -5|   -1|   -1|    1|   -1|   -3|    5|    5|    3|   -1|   -5|   -1|    1|   -1|   -3|   -1|    5|    5|    3|   -1|   -3|    1|    1|    1|    1|    1|    5|    3|    3|   -1|   -3|    1|    1|    1|    1|    1|    3|    3|    3|   -1|   -3|    1|    1|    1|    1|    1|    3|    3|    3|   -1|   -1|    3|   -1|   -1|    1|    1|    3|    3|    3|   -1|   -3|    1|   -1|   -3|   -3|   -1|    3|    3|    3|    1|   -3|   -1|   -1|   -1|   -3|   -3|    5|    5|    3|    1|   -3|   -1|   -1|   -1|   -1|   -5|    1|    0|    3|    3|   -3|   -1|   -1|   -1|   -1|   -1|    1|    1|    3|    1|   -1|   -1|   -1|   -1|   -1|   -1|    1|    1|
=====|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|-----|
 A120|    1|   -1|   -3|   -1|   -1|   -1|    1|   -1|    1|    1|    1|   -3|   -3|   -1|   -1|   -1|    1|    1|   -3|    1|   -1|   -3|   -1|    1|    1|    3|    3|   -1|   -1|    1|    1|   -3|   -3|    1|    1|    3|    1|   -1|    3|    3|    1|   -3|   -3|    1|    3|    1|   -1|    1|    3|    3|    1|   -3|   -5|   -1|   -1|   -1|   -1|   -1|    3|    5|    1|   -3|   -5|   -1|   -1|   -1|   -1|   -1|    5|    5|    1|   -3|   -1|    3|    3|    3|    3|    3|    5|    5|    1|   -3|    1|    5|    1|    1|    3|    3|    5|    5|    1|   -3|   -1|    3|    1|   -1|   -1|    1|    5|    5|    1|   -1|   -1|    1|    1|    1|   -1|   -1|    3|    3|    1|   -1|   -1|    1|    1|    1|    1|   -3|   -1|    3|    0|    1|   -5|   -3|   -3|   -3|   -3|   -3|   -1|    3|    5|    3|   -3|   -3|   -3|   -3|   -3|   -3|    3|    3|
